,recipe name,recipe description,recipe link
0,Quick Chicken Piccata,"These quick and easy pan-fried chicken breasts are topped with a simple pan sauce made with capers, butter, white wine, and lemon juice.",https://www.allrecipes.com/recipe/220751/quick-chicken-piccata/
1,15 Greek Grilled Chicken Recipes,Make restaurant-worthy Greek grilled chicken at home.,https://www.allrecipes.com/gallery/greek-grilled-chicken-recipes/
2,Chicken Pot Pie,"Delicious chicken pot pie made from scratch with carrots, peas, and celery.",https://www.allrecipes.com/recipe/26317/chicken-pot-pie-ix/
3,Our 20 Best New Chicken Recipes of 2021,"The Allrecipes community flocked to these new chicken recipes, from creamy chicken salad to hot fried chicken.",https://www.allrecipes.com/gallery/top-new-chicken-recipes-of-2021/
4,One-Pot Cilantro Lime Chicken Thighs and Rice,Chicken thighs with cilantro and lime juice and cooked in one dish.,https://www.allrecipes.com/recipe/8403763/one-pot-cilantro-lime-chicken-thighs-and-rice/
5,10 Chicken Salads on the Lighter Side,These chicken salad recipes rely on wholesome ingredients to create healthy chicken salads that your whole family will love.,https://www.allrecipes.com/gallery/healthy-chicken-salads/
6,Chicken Stir-Fry,"A quick and easy dish to prepare, this chicken stir-fry is packed with veggies. Try adding bean sprouts, bamboo shoots, snap peas, or any of your favorite vegetables. Serve it with white or brown rice, or noodles.",https://www.allrecipes.com/recipe/223382/chicken-stir-fry/
7,Air Fryer Apricot-Glazed Chicken Breasts,"Fruit preserves work beautifully for glazing certain meats and fish, and apricot is one of the best for chicken. Serve over white rice.",https://www.allrecipes.com/recipe/279934/air-fryer-apricot-glazed-chicken-breasts/
8,How to Boil Chicken,Meal prep just got easier.,https://www.allrecipes.com/article/how-to-boil-chicken/
9,Kung Pao Chicken,"This sweet, sour, and spicy restaurant favorite is easy to make at home.",https://www.allrecipes.com/recipe/9027/kung-pao-chicken/
10,Aussie Chicken,"This recipe is very similar to a chicken dish served at a local well-known restaurant. A friend of mine was kind enough to share it. It includes chicken breasts topped with mushrooms, bacon and cheese cooked in a honey-mustard sauce.",https://www.allrecipes.com/recipe/18775/aussie-chicken/
11,Honey-Garlic Slow Cooker Chicken Thighs,I have used it often. It's easy and uses pantry staples. Always a hit with adults and kids. Serve with basmati rice or quinoa and steamed or roasted vegetables.,https://www.allrecipes.com/recipe/236609/honey-garlic-slow-cooker-chicken-thighs/
12,Chicken Marsala Milanese,"Chef John cooks chicken cutlets Milanese-style, then tops them with the same amazing mushroom sauce that goes on chicken Marsala.",https://www.allrecipes.com/recipe/285679/chicken-marsala-milanese/
13,Chicken Parts 101: What to Do With Each Cut,"Here’s what you need to know about the different cuts of chicken, from breasts to legs to wings.",https://www.allrecipes.com/article/chicken-parts/
14,12 Best Baked Chicken Recipes,These are proven chicken dinner winners.,https://www.allrecipes.com/article/best-baked-chicken-recipes/
15,Kung Pao Chicken,"This sweet, sour, and spicy restaurant favorite is easy to make at home.",https://www.allrecipes.com/recipe/9027/kung-pao-chicken/
16,Here's How to Make 3 Different Dinners From 1 Rotisserie Chicken,Get more cluck for your buck.,https://www.allrecipes.com/article/how-to-make-three-dinners-from-one-rotisserie-chicken/
17,Chef John's Chicken Kiev,Oozing with garlic and parsley butter — this chicken Kiev will be a hit!,https://www.allrecipes.com/recipe/236703/chef-johns-chicken-kiev/
18,Cheesy Lemon-Chicken Pasta,Pecorino Romano and Parmesan give cheesy flavor to this easy lemon-chicken linguine pasta dish that's sure to please the whole family!,https://www.allrecipes.com/recipe/286162/cheesy-lemon-chicken-pasta/
19,Million Dollar Chicken Casserole,This creamy chicken casserole tastes like a million dollars.,https://www.allrecipes.com/recipe/8422645/million-dollar-chicken-casserole/
20,Avocado Ranch Chicken Salad,"A chicken salad with avocado, ranch, and cashews. Goes best on a pretzel bun.",https://www.allrecipes.com/recipe/283440/avocado-ranch-chicken-salad/
21,Different Chicken Divan,This chicken divan recipe is different. I have improved it! This is the best chicken divan — the onions make it!,https://www.allrecipes.com/recipe/20747/different-chicken-divan/
22,Chicken Stir-Fry,"This chicken stir-fry is a little spicy and a little sweet. Fresh ginger and garlic add a little kick, which is balanced with brown sugar. Though the recipe calls for bell peppers, water chestnuts, and broccoli, try it with any vegetable you like!",https://www.allrecipes.com/recipe/223382/chicken-stir-fry/
23,Mamaw's Chicken and Rice Casserole,This chicken and rice casserole is quick and easy to put together and will remind you of your grandma's cooking.,https://www.allrecipes.com/recipe/233983/mamaws-chicken-and-rice-casserole/
24,Honey-Garlic Slow Cooker Chicken Thighs,"This is an easy slow cooker recipe for chicken thighs in a sauce made with soy sauce, ketchup, and honey.",https://www.allrecipes.com/recipe/236609/honey-garlic-slow-cooker-chicken-thighs/
25,Indian Chicken Curry (Murgh Kari),This is an easy recipe for Indian chicken curry with just the right amount if spice.,https://www.allrecipes.com/recipe/212721/indian-chicken-curry-murgh-kari/
26,Basic Chicken Salad,This chicken salad is prepared and ready to enjoy in just 10 minutes.,https://www.allrecipes.com/recipe/8499/basic-chicken-salad/
27,Spicy Thai Basil Chicken (Pad Krapow Gai),Chef John's version of this Thai dish has a sauce everyone will love.,https://www.allrecipes.com/recipe/257938/spicy-thai-basil-chicken-pad-krapow-gai/
28,Buffalo Chicken Dip,"Party-ready dip that's creamy, cheesy, and zesty, made in the slow cooker.",https://www.allrecipes.com/recipe/68461/buffalo-chicken-dip/
29,Yummy Honey Chicken Kabobs,Chicken kabobs are an easy and fun alternative to usual barbecue fare.,https://www.allrecipes.com/recipe/8626/yummy-honey-chicken-kabobs/
30,Quick and Easy Green Chile Chicken Enchilada Casserole,"Shredded chicken with tortillas, sour cream, cheese, and enchilada sauce.",https://www.allrecipes.com/recipe/44989/quick-and-easy-green-chile-chicken-enchilada-casserole/
31,Crunchy Baked Pesto Chicken Thighs,"Try these easy and delicious baked chicken thighs that are breaded with pesto, panko bread crumbs, and Parmesan cheese.",https://www.allrecipes.com/recipe/276218/crunchy-baked-pesto-chicken-thighs/
32,Quick and Easy Chicken Noodle Soup,An easy chicken noodle soup recipe that's ready in just over 30 minutes.,https://www.allrecipes.com/recipe/26460/quick-and-easy-chicken-noodle-soup/
33,Chicken Quesadillas,"Tasty chicken quesadillas filled with bell peppers, onions, and cheese.",https://www.allrecipes.com/recipe/21659/chicken-quesadillas/
34,Jambalaya,"A spicy jambalaya recipe with chicken, andouille sausage, rice and Cajun seasonings.",https://www.allrecipes.com/recipe/31848/jambalaya/
35,Easy Paella,"Paella is a classic Spanish dish of rice, sausage, chicken, and seafood.",https://www.allrecipes.com/recipe/84137/easy-paella/
